IsLa[a],IsLb[A],IsLc[A]
0.6333333,-2.191667,1.925
-0.1791667,-1.620833,2.3625
-1.029167,-1.025,2.3
-2.008333,-0.4416667,2.179167
-2.283333,0.5333333,1.4875
-2.229167,1.391667,0.9416667
-2.116667,2.258333,0.1875
-1.3,2.308333,-0.8875
-0.7416667,2.166667,-1.716667
0.0,1.845833,-2.3125
0.8958333,1.154167,-2.283333
1.733333,0.6291667,-2.204167
2.258333,-0.2291667,-1.758333
2.266667,-1.0875,-1.120833
2.291667,-1.983333,-0.4916667
1.620833,-2.366667,0.5458333
0.9541667,-2.316667,1.325
0.3125,-2.166667,2.179167
-0.6208333,-1.404167,2.3875
-1.391667,-0.8208333,2.329167
-2.170833,-0.06666667,2.125
-2.308333,0.8458333,1.3125
-2.308333,1.670833,0.7125
-1.9375,2.333333,-0.25
-1.1125,2.3125,-1.033333
-0.5083333,2.208333,-1.9
0.3166667,1.608333,-2.295833
0.9583333,0.9916667,-2.270833
1.879167,0.4333333,-2.183333
2.220833,-0.4375,-1.491667
2.241667,-1.208333,-0.9458333
2.1625,-2.125,-0.2666667
1.366667,-2.295833,0.6583333
0.8166667,-2.225,1.558333
0.125,-1.9375,2.266667
-0.7541667,-1.220833,2.3375
-1.720833,-0.6625,2.266667
-2.275,0.1875,1.808333
-2.254167,1.083333,1.141667
-2.229167,2.0625,0.4833333
-1.575,2.35,-0.6166667
-0.925,2.204167,-1.4375
-0.2625,2.0625,-2.233333
0.7083333,1.3375,-2.295833
1.483333,0.8125,-2.195833
2.166667,0.09166667,-2.0
2.220833,-0.8958333,-1.266667
2.229167,-1.729167,-0.7416667
1.933333,-2.304167,0.2083333
1.1375,-2.304167,1.116667
0.5791667,-2.233333,1.970833
-0.3458333,-1.675,2.35
-1.145833,-1.025,2.325
-2.004167,-0.3916667,2.266667
-2.3,0.625,1.566667
-2.283333,1.429167,0.9541667
-2.191667,2.229167,0.1125
-1.345833,2.325,-0.8791667
-0.7458333,2.220833,-1.654167
0.03333333,1.908333,-2.275
0.8208333,1.179167,-2.279167
1.666667,0.6458333,-2.204167
2.220833,-0.1791667,-1.75
2.216667,-0.9458333,-1.129167
2.216667,-1.9375,-0.55
1.604167,-2.295833,0.4166667
0.9958333,-2.2125,1.204167
0.4333333,-2.091667,2.170833
-0.475,-1.408333,2.333333
-1.379167,-0.8708333,2.258333
-2.216667,-0.2125,2.054167
-2.258333,0.7791667,1.333333
-2.225,1.7875,0.7666667
-1.875,2.366667,-0.175
-1.116667,2.258333,-1.133333
-0.5416667,2.116667,-2.079167
0.3791667,1.541667,-2.35
1.2,0.9875,-2.208333
2.0625,0.4,-2.083333
2.245833,-0.6,-1.420833
2.1625,-1.45,-0.9333333
2.079167,-2.241667,-0.1833333
1.3,-2.291667,0.8583333
0.7791667,-2.2,1.679167
0.04583333,-1.904167,2.316667
-0.8791667,-1.191667,2.3625
-1.779167,-0.6583333,2.275
-2.3125,0.25,1.820833
-2.316667,1.133333,1.154167
-2.283333,2.066667,0.4833333
-1.6125,2.4125,-0.5875
-0.9375,2.275,-1.370833
-0.275,2.095833,-2.241667
0.6166667,1.358333,-2.375
1.391667,0.8166667,-2.2375
2.179167,0.1083333,-1.995833
2.266667,-0.7291667,-1.279167
2.2125,-1.625,-0.7375
1.854167,-2.304167,0.1041667
1.145833,-2.254167,0.8875
0.6291667,-2.145833,1.8875
-0.1666667,-1.604167,2.329167
-0.9625,-1.05,2.2875
-2.0,-0.4916667,2.179167
-2.304167,0.45,1.516667
-2.258333,1.345833,0.9833333
-2.1125,2.2875,0.25
-1.316667,2.341667,-0.8208333
-0.7541667,2.166667,-1.729167
-0.01666667,1.804167,-2.370833
0.9,1.1375,-2.304167
1.816667,0.6166667,-2.1625
2.291667,-0.25,-1.670833
2.225,-1.141667,-1.079167
2.179167,-2.054167,-0.4625
1.520833,-2.354167,0.5708333
0.9333333,-2.25,1.35
0.3291667,-2.079167,2.2125
-0.6083333,-1.370833,2.3625
-1.420833,-0.8333333,2.304167
-2.216667,-0.1125,2.083333
-2.345833,0.8708333,1.3125
-2.325,1.75,0.7583333
-1.941667,2.4,-0.2416667
-1.141667,2.370833,-1.120833
-0.525,2.220833,-1.995833
0.375,1.620833,-2.4
1.125,0.9875,-2.325
1.983333,0.3875,-2.170833
2.283333,-0.5375,-1.470833
2.25,-1.3125,-0.9208333
2.1,-2.179167,-0.1833333
1.320833,-2.304167,0.6958333
0.7875,-2.183333,1.520833
0.1208333,-1.854167,2.233333
-0.6791667,-1.208333,2.3125
-1.633333,-0.6833333,2.254167
-2.25,0.1125,1.791667
-2.291667,0.9625,1.170833
-2.266667,1.9875,0.5416667
-1.5875,2.354167,-0.5
-0.9541667,2.258333,-1.316667
-0.3208333,2.075,-2.225
0.6208333,1.345833,-2.354167
1.479167,0.8083333,-2.220833
2.216667,0.1041667,-1.975
2.245833,-0.8916667,-1.25
2.204167,-1.783333,-0.7083333
1.829167,-2.325,0.2291667
1.1,-2.254167,1.116667
0.5583333,-2.154167,1.995833
-0.3333333,-1.6,2.320833
-1.154167,-1.020833,2.279167
-2.008333,-0.4125,2.225
-2.304167,0.6166667,1.533333
-2.308333,1.429167,0.9875
-2.216667,2.258333,0.1583333
-1.354167,2.383333,-0.8958333
-0.7666667,2.258333,-1.7125
0.0375,1.920833,-2.341667
0.9,1.1875,-2.366667
1.754167,0.6291667,-2.266667
2.270833,-0.2583333,-1.775
2.275,-1.054167,-1.104167
2.245833,-1.970833,-0.4833333
1.579167,-2.295833,0.4875
0.9666667,-2.208333,1.220833
0.3833333,-2.075,2.120833
-0.4458333,-1.383333,2.275
-1.270833,-0.8791667,2.25
-2.133333,-0.2458333,2.0625
-2.254167,0.65,1.354167
-2.275,1.65,0.8083333
-1.916667,2.325,-0.07916667
-1.1625,2.3,-0.9916667
-0.6,2.170833,-1.991667
0.275,1.591667,-2.358333
1.120833,1.0125,-2.266667
2.058333,0.4208333,-2.129167
2.275,-0.5708333,-1.433333
2.195833,-1.466667,-0.9166667
2.0625,-2.2625,-0.1666667
1.270833,-2.279167,0.8708333
0.7583333,-2.145833,1.716667
0.02916667,-1.825,2.295833
-0.8916667,-1.1625,2.279167
-1.770833,-0.6583333,2.216667
-2.279167,0.2375,1.791667
-2.279167,1.125,1.166667
-2.295833,2.045833,0.5208333
-1.6125,2.3875,-0.575
-0.9666667,2.3,-1.395833
-0.2958333,2.1375,-2.233333
0.625,1.3875,-2.4125
1.441667,0.8333333,-2.279167
2.216667,0.09166667,-2.05
2.3125,-0.8166667,-1.275
2.275,-1.6875,-0.7083333
1.8875,-2.3125,0.1916667
1.116667,-2.2875,0.95
0.5708333,-2.1625,1.895833
-0.2125,-1.591667,2.283333
-0.9375,-1.020833,2.266667
-1.916667,-0.4791667,2.1875
-2.2375,0.3958333,1.508333
-2.2625,1.241667,0.9875
-2.1625,2.2,0.3
-1.3625,2.329167,-0.6875
-0.7958333,2.216667,-1.625
-0.09166667,1.879167,-2.325
0.7708333,1.183333,-2.354167
1.779167,0.6416667,-2.2125
2.295833,-0.1833333,-1.704167
2.258333,-1.083333,-1.095833
2.195833,-2.070833,-0.4583333
1.491667,-2.35,0.5833333
0.9083333,-2.208333,1.3875
0.2958333,-2.025,2.216667
-0.6291667,-1.308333,2.316667
-1.458333,-0.8166667,2.225
-2.170833,-0.1041667,2.016667
-2.2625,0.8625,1.2875
-2.295833,1.741667,0.7541667
-1.929167,2.345833,-0.2125
-1.141667,2.345833,-1.1125
-0.5416667,2.275,-1.9875
0.3666667,1.65,-2.395833
1.141667,0.9916667,-2.3625
2.008333,0.375,-2.241667
2.3125,-0.5958333,-1.491667
2.304167,-1.3625,-0.9166667
2.175,-2.204167,-0.1041667
1.304167,-2.3375,0.8
0.7125,-2.220833,1.570833
0.0,-1.8625,2.241667
-0.725,-1.1625,2.295833
-1.591667,-0.6166667,2.241667
-2.191667,0.175,1.766667
-2.266667,0.9,1.141667
-2.275,1.908333,0.5375
-1.608333,2.295833,-0.4333333
-0.9583333,2.266667,-1.225
-0.3708333,2.120833,-2.166667
0.5208333,1.375,-2.345833
1.3875,0.8416667,-2.270833
2.2,0.1666667,-2.020833
2.2625,-0.8166667,-1.283333
2.229167,-1.783333,-0.7125
1.845833,-2.341667,0.2291667
1.095833,-2.2625,1.145833
0.5083333,-2.129167,2.0375
-0.3958333,-1.5625,2.304167
-1.2,-0.9708333,2.233333
-2.016667,-0.3625,2.158333
-2.220833,0.6583333,1.475
-2.229167,1.4375,0.9416667
-2.170833,2.208333,0.15
-1.333333,2.304167,-0.9125
-0.7541667,2.258333,-1.7
0.0375,1.945833,-2.325
0.9375,1.1875,-2.370833
1.770833,0.6333333,-2.295833
2.275,-0.2958333,-1.8125
2.308333,-1.141667,-1.104167
2.2875,-2.016667,-0.4333333
1.604167,-2.329167,0.6083333
0.925,-2.245833,1.354167
0.2541667,-2.091667,2.166667
-0.6166667,-1.370833,2.2875
-1.3625,-0.8,2.229167
-2.116667,-0.1,2.033333
-2.216667,0.7333333,1.325
-2.241667,1.641667,0.7666667
-1.895833,2.270833,-0.1125
-1.166667,2.254167,-0.9375
-0.6125,2.175,-1.95
0.2416667,1.620833,-2.333333
1.058333,1.045833,-2.279167
2.054167,0.4666667,-2.166667
2.291667,-0.5166667,-1.4875
2.2375,-1.429167,-0.9416667
2.1,-2.304167,-0.2083333
1.308333,-2.295833,0.8833333
0.75,-2.145833,1.770833
-0.02083333,-1.804167,2.3375
-0.9458333,-1.1375,2.270833
-1.845833,-0.5875,2.154167
-2.2625,0.3208333,1.691667
-2.175,1.183333,1.125
-2.191667,2.075,0.4791667
-1.558333,2.325,-0.6208333
-0.9375,2.2,-1.420833
-0.3041667,2.079167,-2.241667
0.6666667,1.366667,-2.370833
1.495833,0.8333333,-2.270833
2.245833,0.1125,-2.05
2.3375,-0.8833333,-1.283333
2.3,-1.783333,-0.7333333
1.895833,-2.383333,0.2375
1.116667,-2.3125,1.104167
0.5333333,-2.166667,1.995833
-0.35,-1.583333,2.358333
-1.108333,-0.9833333,2.275
-1.991667,-0.3833333,2.158333
-2.2625,0.525,1.491667
-2.220833,1.316667,0.9458333
-2.125,2.191667,0.2208333
-1.329167,2.283333,-0.6958333
-0.7875,2.166667,-1.583333
-0.1125,1.845833,-2.308333
0.7125,1.208333,-2.333333
1.7375,0.6958333,-2.216667
2.308333,-0.1291667,-1.7375
2.275,-1.0,-1.125
2.2,-2.075,-0.5291667
1.520833,-2.391667,0.5208333
0.9166667,-2.229167,1.379167
0.3208333,-2.0,2.266667
-0.65,-1.308333,2.333333
-1.5,-0.7958333,2.195833
-2.2375,-0.075,1.925
-2.2375,0.9166667,1.254167
-2.1875,1.808333,0.7083333
-1.816667,2.35,-0.2333333
-1.091667,2.2625,-1.129167
-0.5375,2.141667,-2.020833
0.35,1.5875,-2.3875
1.170833,1.008333,-2.325
2.070833,0.4041667,-2.1875
2.35,-0.5875,-1.491667
2.3375,-1.429167,-0.9333333
2.170833,-2.295833,-0.1416667
1.308333,-2.4125,0.875
0.7333333,-2.2625,1.691667
-0.0375,-1.870833,2.35
-0.875,-1.145833,2.370833
-1.729167,-0.5958333,2.25
-2.2625,0.2791667,1.75
-2.254167,1.045833,1.104167
-2.229167,1.954167,0.475
-1.566667,2.3125,-0.5
-0.9375,2.208333,-1.216667
-0.35,2.041667,-2.129167
0.475,1.358333,-2.316667
1.320833,0.85,-2.266667
2.175,0.2083333,-2.0
2.3,-0.7,-1.304167
2.270833,-1.683333,-0.7541667
1.8625,-2.35,0.1416667
1.129167,-2.3,1.020833
0.5458333,-2.166667,2.004167
-0.3333333,-1.554167,2.3625
-1.15,-0.9791667,2.2625
-2.045833,-0.3458333,2.133333
-2.270833,0.6625,1.445833
-2.204167,1.483333,0.9291667
-2.091667,2.254167,0.1166667
-1.275,2.283333,-0.9166667
-0.7416667,2.175,-1.729167
0.03333333,1.829167,-2.295833
0.9166667,1.166667,-2.325
1.795833,0.6541667,-2.266667
2.2875,-0.2666667,-1.770833
2.316667,-1.141667,-1.129167
2.3,-2.075,-0.4625
1.595833,-2.395833,0.6083333
0.9375,-2.304167,1.4
0.2583333,-2.133333,2.225
-0.6708333,-1.366667,2.379167
-1.458333,-0.8083333,2.2875
-2.195833,-0.025,2.045833
-2.258333,0.8458333,1.2875
-2.2625,1.6875,0.7166667
-1.870833,2.2625,-0.2166667
-1.1375,2.254167,-0.9875
-0.5708333,2.145833,-1.891667
0.2375,1.579167,-2.275
0.9708333,1.041667,-2.254167
1.9375,0.5041667,-2.166667
2.2375,-0.4208333,-1.495833
2.266667,-1.283333,-0.9708333
2.154167,-2.225,-0.3
1.358333,-2.320833,0.7291667
0.7958333,-2.208333,1.666667
0.0625,-1.858333,2.320833
-0.8291667,-1.175,2.316667
-1.808333,-0.6333333,2.204167
-2.275,0.275,1.708333
-2.216667,1.154167,1.104167
-2.170833,2.095833,0.4458333
-1.5125,2.329167,-0.6291667
-0.9166667,2.179167,-1.4375
-0.2666667,2.020833,-2.2375
0.6708333,1.329167,-2.304167
1.4875,0.825,-2.220833
2.2125,0.125,-2.004167
2.266667,-0.8708333,-1.283333
2.283333,-1.791667,-0.7541667
1.916667,-2.366667,0.1875
1.15,-2.333333,1.120833
0.5708333,-2.225,2.025
-0.35,-1.625,2.395833
-1.154167,-1.008333,2.316667
-2.029167,-0.375,2.2125
-2.3,0.6083333,1.508333
-2.270833,1.404167,0.9416667
-2.145833,2.225,0.1166667
-1.3125,2.308333,-0.7833333
-0.75,2.183333,-1.604167
-0.04583333,1.845833,-2.25
0.6958333,1.170833,-2.295833
1.633333,0.6625,-2.216667
2.216667,-0.1083333,-1.729167
2.2625,-0.9,-1.1375
2.254167,-1.966667,-0.5625
1.566667,-2.345833,0.4041667
0.9708333,-2.258333,1.254167
0.3916667,-2.075,2.220833
-0.525,-1.35,2.358333
-1.425,-0.8375,2.254167
-2.229167,-0.1208333,1.970833
-2.266667,0.8458333,1.266667
-2.2125,1.8375,0.7
-1.8,2.354167,-0.2541667
-1.079167,2.254167,-1.145833
-0.5083333,2.1125,-2.045833
0.3833333,1.516667,-2.345833
1.170833,0.9833333,-2.254167
2.033333,0.3958333,-2.1375
2.266667,-0.5791667,-1.445833
2.275,-1.425,-0.9291667
2.166667,-2.25,-0.1708333
1.320833,-2.366667,0.8416667
0.7625,-2.291667,1.683333
-0.01666667,-1.920833,2.345833
-0.8916667,-1.166667,2.3875
-1.754167,-0.5958333,2.316667
-2.291667,0.3125,1.808333
-2.308333,1.108333,1.116667
-2.295833,2.008333,0.4208333
-1.575,2.35,-0.6041667
-0.9083333,2.266667,-1.304167
-0.2458333,2.075,-2.145833
0.5458333,1.358333,-2.3
1.295833,0.7916667,-2.245833
2.108333,0.1416667,-1.991667
2.254167,-0.6583333,-1.270833
2.275,-1.5875,-0.7416667
1.879167,-2.283333,0.1125
1.145833,-2.304167,0.9
0.5708333,-2.2125,1.916667
-0.2375,-1.6125,2.333333
-1.025,-1.004167,2.3125
-2.008333,-0.4125,2.2125
-2.291667,0.5666667,1.470833
-2.2375,1.433333,0.9083333
-2.108333,2.2875,0.1291667
-1.283333,2.291667,-0.9375
-0.7083333,2.145833,-1.770833
0.09583333,1.8125,-2.3125
0.9708333,1.129167,-2.270833
1.804167,0.5833333,-2.1875
2.220833,-0.3083333,-1.716667
2.2375,-1.158333,-1.0875
2.254167,-2.045833,-0.4375
1.5625,-2.329167,0.6208333
0.9333333,-2.291667,1.4
0.2708333,-2.141667,2.216667
-0.6875,-1.383333,2.366667
-1.470833,-0.8208333,2.316667
-2.191667,-0.01666667,2.0875
-2.304167,0.9291667,1.3
-2.3125,1.770833,0.6958333
-1.916667,2.304167,-0.3
-1.108333,2.291667,-1.125
-0.4958333,2.179167,-1.958333
0.3958333,1.6125,-2.2875
1.075,0.9791667,-2.25
1.933333,0.3875,-2.15
2.2,-0.5125,-1.4875
2.225,-1.279167,-0.95
2.120833,-2.154167,-0.2166667
1.345833,-2.2625,0.6916667
0.7958333,-2.2125,1.604167
0.1,-1.879167,2.279167
-0.7541667,-1.2125,2.3125
-1.7625,-0.6583333,2.258333
-2.3,0.2166667,1.758333
-2.258333,1.104167,1.133333
-2.216667,2.125,0.4833333
-1.520833,2.35,-0.6208333
-0.9208333,2.175,-1.466667
-0.25,1.995833,-2.279167
0.7291667,1.3,-2.3
1.5625,0.7875,-2.154167
2.220833,0.05416667,-1.925
2.195833,-0.9375,-1.225
2.183333,-1.829167,-0.7208333
1.841667,-2.329167,0.2333333
1.108333,-2.245833,1.141667
0.5666667,-2.170833,2.029167
-0.3666667,-1.616667,2.3625
-1.2,-1.008333,2.295833
-2.066667,-0.375,2.225
-2.316667,0.6625,1.508333
-2.283333,1.483333,0.9333333
-2.166667,2.291667,0.1
-1.3,2.345833,-0.9125
-0.7208333,2.2125,-1.729167
0.07083333,1.854167,-2.3375
0.8708333,1.145833,-2.316667
1.725,0.6166667,-2.2
2.245833,-0.2416667,-1.7
2.220833,-1.004167,-1.0875
2.195833,-1.983333,-0.5083333
1.545833,-2.308333,0.4583333
0.9583333,-2.2125,1.229167
0.4041667,-2.054167,2.1875
-0.475,-1.395833,2.341667
-1.375,-0.8541667,2.254167
-2.2375,-0.175,2.020833
-2.2875,0.7791667,1.308333
-2.233333,1.804167,0.7541667
-1.820833,2.395833,-0.2
-1.095833,2.275,-1.116667
-0.5166667,2.095833,-2.108333
0.3916667,1.4875,-2.3875
1.216667,0.95,-2.225
2.1125,0.3541667,-2.05
2.270833,-0.6375,-1.383333
2.183333,-1.479167,-0.8875
2.033333,-2.275,-0.1375
1.258333,-2.304167,0.8958333
0.7458333,-2.183333,1.729167
-0.008333333,-1.8375,2.3375
-0.9,-1.158333,2.3625
-1.8125,-0.6375,2.266667
-2.325,0.2833333,1.783333
-2.35,1.1625,1.1375
-2.295833,2.104167,0.4416667
-1.579167,2.429167,-0.6541667
-0.9083333,2.308333,-1.416667
-0.2375,2.083333,-2.258333
0.6791667,1.329167,-2.408333
1.45,0.7666667,-2.2625
2.2,0.05,-1.983333
2.283333,-0.8,-1.258333
2.245833,-1.666667,-0.6958333
1.8125,-2.304167,0.1708333
1.116667,-2.258333,0.9416667
0.5875,-2.158333,1.9
-0.2208333,-1.566667,2.320833
-0.9791667,-1.0125,2.2875
-1.979167,-0.4666667,2.1875
-2.304167,0.4875,1.495833
-2.279167,1.345833,0.95
-2.120833,2.279167,0.2041667
-1.304167,2.35,-0.8125
-0.7333333,2.191667,-1.733333
0.0375,1.8,-2.35
0.9208333,1.133333,-2.325
1.845833,0.5708333,-2.179167
2.291667,-0.3125,-1.65
2.241667,-1.1625,-1.070833
2.1875,-2.070833,-0.4166667
1.475,-2.320833,0.6291667
0.9125,-2.2125,1.416667
0.2833333,-2.0375,2.2125
-0.6541667,-1.329167,2.3375
-1.495833,-0.825,2.2875
-2.2125,-0.06666667,2.05
-2.3125,0.9125,1.304167
-2.329167,1.804167,0.7208333
-1.895833,2.391667,-0.2958333
-1.120833,2.345833,-1.166667
-0.5041667,2.225,-2.05
0.4291667,1.591667,-2.3625
1.2,0.9916667,-2.308333
2.029167,0.3375,-2.175
2.283333,-0.6083333,-1.454167
2.258333,-1.375,-0.8958333
2.1,-2.170833,-0.125
1.3,-2.266667,0.7541667
0.7541667,-2.1875,1.570833
0.06666667,-1.845833,2.220833
-0.6833333,-1.2,2.275
-1.654167,-0.6791667,2.245833
-2.216667,0.1541667,1.766667
-2.270833,0.975,1.1625
-2.275,2.016667,0.5416667
-1.5875,2.3375,-0.5041667
-0.95,2.25,-1.341667
-0.3208333,2.070833,-2.241667
0.6166667,1.3375,-2.345833
1.516667,0.8083333,-2.204167
2.2375,0.07916667,-1.929167
2.245833,-0.8958333,-1.2375
2.191667,-1.833333,-0.675
1.766667,-2.3375,0.2666667
1.083333,-2.233333,1.158333
0.525,-2.108333,2.0375
-0.3666667,-1.533333,2.316667
-1.183333,-1.004167,2.245833
-2.05,-0.4,2.166667
-2.283333,0.6375,1.5
-2.275,1.483333,0.9625
-2.170833,2.291667,0.15
-1.325,2.354167,-0.9125
-0.7583333,2.254167,-1.766667
0.05416667,1.895833,-2.354167
0.9375,1.1625,-2.3625
1.804167,0.6166667,-2.25
2.3,-0.2916667,-1.741667
2.275,-1.108333,-1.095833
2.2375,-2.016667,-0.4375
1.529167,-2.320833,0.5375
0.9166667,-2.2125,1.279167
0.3291667,-2.054167,2.1375
-0.4791667,-1.358333,2.304167
-1.291667,-0.8416667,2.233333
-2.129167,-0.1833333,2.016667
-2.2625,0.6583333,1.320833
-2.279167,1.666667,0.7666667
-1.875,2.325,-0.1208333
-1.15,2.304167,-0.9791667
-0.5708333,2.170833,-2.0125
0.2916667,1.5625,-2.358333
1.120833,0.9875,-2.275
2.083333,0.3958333,-2.1125
2.304167,-0.5791667,-1.404167
2.216667,-1.475,-0.8958333
2.033333,-2.291667,-0.1291667
1.25,-2.2875,0.8833333
0.7166667,-2.125,1.766667
-0.02083333,-1.770833,2.3125
-0.9083333,-1.125,2.279167
-1.808333,-0.6041667,2.1875
-2.2625,0.2833333,1.7375
-2.283333,1.133333,1.133333
-2.270833,2.075,0.4666667
-1.570833,2.383333,-0.6208333
-0.9375,2.304167,-1.416667
-0.2541667,2.129167,-2.258333
0.6625,1.3625,-2.4
1.475,0.8,-2.308333
2.216667,0.02916667,-2.025
2.3125,-0.8625,-1.25
2.291667,-1.720833,-0.6833333
1.854167,-2.3125,0.275
1.0875,-2.295833,1.020833
0.5083333,-2.175,1.908333
-0.2958333,-1.5625,2.291667
-0.9708333,-0.9791667,2.258333
-1.916667,-0.4041667,2.170833
-2.233333,0.4625,1.491667
-2.2625,1.254167,0.9416667
-2.141667,2.175,0.2125
-1.3375,2.308333,-0.7
-0.7541667,2.225,-1.6375
-0.05,1.8625,-2.316667
0.7708333,1.1625,-2.341667
1.7625,0.6083333,-2.2375
2.291667,-0.2583333,-1.7
2.275,-1.108333,-1.070833
2.2,-2.0875,-0.4
1.4875,-2.345833,0.6375
0.8875,-2.191667,1.429167
0.2375,-2.008333,2.220833
-0.7,-1.295833,2.3
-1.495833,-0.7791667,2.204167
-2.170833,-0.02083333,1.991667
-2.245833,0.925,1.2625
-2.258333,1.795833,0.7083333
-1.8875,2.329167,-0.2958333
-1.116667,2.316667,-1.1625
-0.5041667,2.25,-2.0375
0.425,1.620833,-2.366667
1.208333,0.9833333,-2.3375
2.041667,0.325,-2.225
2.308333,-0.6708333,-1.4625
2.3,-1.45,-0.8916667
2.154167,-2.225,-0.04583333
1.275,-2.3125,0.8958333
0.6875,-2.225,1.670833
-0.07916667,-1.854167,2.229167
-0.8333333,-1.141667,2.2875
-1.666667,-0.5791667,2.225
-2.175,0.2583333,1.7625
-2.245833,0.9916667,1.125
-2.25,1.958333,0.4916667
-1.579167,2.283333,-0.4833333
-0.9625,2.229167,-1.270833
-0.3416667,2.1,-2.2
0.55,1.3875,-2.325
1.4375,0.8333333,-2.258333
2.241667,0.125,-2.004167
2.258333,-0.8333333,-1.266667
2.229167,-1.845833,-0.7
1.808333,-2.379167,0.2625
1.083333,-2.258333,1.170833
0.4958333,-2.104167,2.104167
-0.4333333,-1.504167,2.325
-1.245833,-0.9416667,2.216667
-2.091667,-0.325,2.1
-2.220833,0.6875,1.420833
-2.2,1.5125,0.9291667
-2.1,2.275,0.1166667
-1.3,2.279167,-0.95
-0.7458333,2.216667,-1.7875
0.05833333,1.879167,-2.354167
0.9708333,1.166667,-2.320833
1.85,0.6333333,-2.270833
2.304167,-0.3333333,-1.7625
2.275,-1.195833,-1.1125
2.258333,-2.091667,-0.4166667
1.5375,-2.3625,0.6541667
0.9,-2.2375,1.425
0.2416667,-2.0625,2.225
-0.6458333,-1.3125,2.325
-1.429167,-0.7875,2.225
-2.170833,-0.0625,1.991667
-2.2375,0.7791667,1.279167
-2.220833,1.6875,0.7291667
-1.820833,2.304167,-0.1875
-1.133333,2.254167,-0.9791667
-0.5791667,2.158333,-1.9625
0.25,1.575,-2.333333
1.054167,1.025,-2.279167
2.070833,0.4541667,-2.15
2.3,-0.525,-1.441667
2.241667,-1.45,-0.9208333
2.0625,-2.333333,-0.1666667
1.266667,-2.329167,0.8708333
0.7416667,-2.145833,1.8125
-0.0625,-1.7625,2.370833
-0.9541667,-1.1125,2.2875
-1.879167,-0.5791667,2.133333
-2.283333,0.3416667,1.629167
-2.191667,1.195833,1.079167
-2.158333,2.125,0.4333333
-1.475,2.341667,-0.6583333
-0.9083333,2.216667,-1.445833
-0.2708333,2.05,-2.270833
0.6625,1.325,-2.366667
1.520833,0.8,-2.275
2.270833,0.0875,-2.004167
2.345833,-0.9041667,-1.254167
2.304167,-1.825,-0.7041667
1.858333,-2.408333,0.2958333
1.091667,-2.345833,1.154167
0.5125,-2.183333,2.058333
-0.4041667,-1.55,2.391667
-1.158333,-0.9625,2.295833
-2.033333,-0.3333333,2.15
-2.279167,0.6083333,1.454167
-2.241667,1.358333,0.9125
-2.070833,2.2125,0.1291667
-1.3,2.3,-0.7541667
-0.7541667,2.1875,-1.616667
-0.0625,1.808333,-2.2875
0.7291667,1.166667,-2.320833
1.708333,0.6541667,-2.225
2.304167,-0.1708333,-1.691667
2.3,-1.025,-1.0875
2.233333,-2.0625,-0.4875
1.495833,-2.3875,0.55
0.9,-2.233333,1.383333
0.2833333,-2.008333,2.2625
-0.6708333,-1.291667,2.35
-1.533333,-0.7708333,2.208333
-2.2375,0.0,1.904167
-2.254167,0.9375,1.216667
-2.216667,1.8375,0.6583333
-1.7625,2.35,-0.3083333
-1.075,2.2625,-1.195833
-0.4916667,2.141667,-2.045833
0.4083333,1.529167,-2.358333
1.208333,0.9791667,-2.304167
2.054167,0.3708333,-2.179167
2.325,-0.6541667,-1.445833
2.333333,-1.504167,-0.9125
2.15,-2.291667,-0.07916667
1.291667,-2.383333,0.925
0.7291667,-2.283333,1.7625
-0.08333333,-1.845833,2.333333
-0.9375,-1.125,2.35
-1.779167,-0.575,2.258333
-2.2625,0.3666667,1.716667
-2.266667,1.116667,1.095833
-2.233333,1.991667,0.4
-1.529167,2.295833,-0.5833333
-0.9208333,2.2125,-1.291667
-0.2958333,2.054167,-2.1375
0.525,1.354167,-2.279167
1.345833,0.8416667,-2.258333
2.1625,0.1666667,-1.991667
2.258333,-0.7083333,-1.275
2.2875,-1.7375,-0.7291667
1.841667,-2.3375,0.1708333
1.125,-2.304167,1.0375
0.5541667,-2.166667,2.041667
-0.3416667,-1.533333,2.3375
-1.179167,-0.9791667,2.266667
-2.091667,-0.3458333,2.133333
-2.254167,0.6708333,1.4125
-2.204167,1.5125,0.9
-2.0375,2.2875,0.08333333
-1.254167,2.266667,-0.9583333
-0.7083333,2.154167,-1.783333
0.06666667,1.791667,-2.316667
0.9416667,1.145833,-2.283333
1.841667,0.6166667,-2.2125
2.2875,-0.2958333,-1.716667
2.295833,-1.191667,-1.095833
2.266667,-2.120833,-0.4416667
1.558333,-2.383333,0.6416667
0.9208333,-2.283333,1.454167
0.2583333,-2.1,2.258333
-0.7,-1.35,2.370833
-1.5,-0.8041667,2.279167
-2.216667,-0.008333333,2.0125
-2.270833,0.8875,1.2625
-2.258333,1.75,0.675
-1.829167,2.308333,-0.2666667
-1.075,2.245833,-1.045833
-0.525,2.145833,-1.945833
0.2833333,1.5625,-2.291667
1.016667,1.008333,-2.241667
1.95,0.475,-2.15
2.258333,-0.4291667,-1.45
2.266667,-1.3125,-0.9375
2.129167,-2.225,-0.2375
1.308333,-2.3375,0.7291667
0.775,-2.208333,1.695833
0.0375,-1.816667,2.333333
-0.8291667,-1.145833,2.325
-1.841667,-0.5916667,2.2
-2.3,0.3041667,1.6625
-2.2375,1.175,1.0875
-2.170833,2.133333,0.4041667
